GrowerNumber,PreviousWorkbookName,PreviousPool,PreviousStatus,CurrentWorkbookName,CurrentPoolStarts,CurrentStatus,Category,OldAliasDisposition,PoolDisposition
2722,,,Absent,LSI-ROBISON CONV,LH,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2750,LSI-PINK LADY,LP,Active,LSI CONV,LP,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2800,Bella Vista,BV,Active,BELLA VISTA ORG,BV,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2822,,,Absent,BELLA VISTA CONV,1B,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2825,Bella Vista - Chilean,B7,Active,BELLA VISTA ORG CHIL,B7,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2900,Loomis,LO,Active,LOOMIS ORG CHIL,LO,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2902,,,Absent,LOOMIS CONV,LD,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2910,LOOMIS NON-CHILEAN,L1,Active,LOOMIS ORG,L1,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3000,INACTIVE,,Inactive,INACTIVE-LC Orchard,,Inactive,Still inactive,Not applicable,
3010,PREMIERE PARTNERS IV,IV,Active,PREMIERE PARTNERS IV,IV,Active,Unchanged number/name/status,Not applicable,
3020,ROLLOFF FARMS-VA EASTSIDE,RV,Active,ROLLOFF F-VA ESIDE CONV,RV,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3030,MFR - ZERBA PL,BW,Active,MFR - ZERBA PL ORG,BW,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3031,,,Absent,MFR - ZERBA PL ORG CHIL,H7,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3032,,,Absent,MFR - ZERBA PL CONV,EV,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3040,DL & JJ FARMS - MASON,MS,Active,DL & JJ - MASON CONV,MS,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3050,ROLOFF FARMS - JERRI,JE,Active,ROLOFF FARMS-JERRI CONV,JE,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3060,ROLOFF FARMS - MILTA,MI,Active,ROLOFF FARMS-MILTA CONV,MI,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3070,Morris Orchards,CA,Active,Morris Orchards,CA,Active,Unchanged number/name/status,Not applicable,
3080,MASON PLACE-MALCOM MILLAR,MM,Active,MASON PLACE-MILLAR CONV,MM,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3090,BULLOCK FARMS,SP,Active,BULLOCK FARMS CONV,SP,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3100,EMPEY ORCHARDS,EM,Active,EMPEY ORCHARDS CONV,EM,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3110,Rodighiero Orchard -Bradshaw,SB,Active,Rodighiero-Bradsh CONV,SB,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3120,SAM'S APPLES - WAREHOUSE,SW,Active,SAMS APPLES-WHSE ORG,SW,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3121,,,Absent,SAMS APPLES-WS ORG CHIL,IG,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3122,,,Absent,SAMS APPLES-WHSE CONV,HP,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3130,SAMS APPLES - DANS,SD,Active,SAMS APPLES-DANS ORG,SD,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3131,,,Absent,SAMS APPLE-DAN ORG CHIL,HU,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3132,,,Absent,SAMS APPLES-DANS CONV,IH,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3140,DL & JJ FARMS - MARLIN,DM,Active,DL & JJ - MARLIN CONV,DM,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3150,MFR - DAN SAMS & BROWN,DS,Active,MFR - SAMS & BRN ORG,DS,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3151,,,Absent,MFR-SAMS & BRN ORG CHIL,1D,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3152,,,Absent,MFR - SAMS & BRN CONV,2D,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3160,MFR - L&E WALISER PL,LW,Active,MFR-L&E WALISER ORG,LW,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3161,,,Absent,MFR-L&E WALISR ORG CHIL,G7,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3162,,,Absent,MFR-L&E WALISER CONV,A8,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3170,MASON & BROWN,MN,Active,MASON & BROWN CONV,MN,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3180,MFR - WILMONT PL,EW,Active,MFR - WILMONT PL ORG,EW,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3181,,,Absent,MFR-WILMONT PL ORG CHIL,EX,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3182,,,Absent,MFR - WILMONT PL CONV,AK,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3190,MFR - M&D FARMS CARTER SHOP,MA,Active,MFR-M&D CARTER S ORG,MA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3191,,,Absent,MFR-M&D CART S ORG CHIL,A9,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3192,,,Absent,MFR-M&D CARTER S CONV,ET,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3200,BENCH ORCHARD NON-CHILEAN,BE,Active,BENCH ORCHARD ORG,BE,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3201,,,Absent,BENCH ORCHARD ORG CHIL,2B,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3202,,,Absent,BENCH ORCHARD CONV,3B,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3210,BULLOCK & STEWART,BL,Active,BULLOCK & STEWART CONV,BL,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3220,BULLOCK & TEN EYCK,TE,Active,BULLOCK & TEN EYCK CONV,TE,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3230,BULLOCK & SMITH,SM,Active,BULLOCK & SMITH CONV,SM,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3240,MFR - J WAL. ORCH INC - WALISER DAVIS,JA,Active,MFR-JW-WALISR DAVIS ORG,JA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3241,,,Absent,MFR-JW-WALSR D ORG CHIL,IX,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3242,,,Absent,MFR-JW-WALISER DVS CONV,EA,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3250,BULLOCK RANCHES - BAKER,BM,Active,BULLOCK R - BAKER CONV,BM,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3260,Rodighiero Orch - Home50,SH,Active,Rodighiero-Home50 CONV,SH,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3270,BULLOCK FARMS - HOME,BQ,Active,BULLOCK - HOME CONV,BQ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3280,BULLOCK FARMS - NFORK,BY,Active,BULLOCK - NFORK CONV,BY,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3290,MFR - J L WAL FM LLC -TOWN,JF,Active,MFR - JWAL -TOWN ORG,JF,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3291,,,Absent,MFR-JWAL-TOWN ORG CHIL,TZ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3292,,,Absent,MFR - JWAL -TOWN CONV,TX,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3300,MFR - J WAL ORCH INC -DANIELSON,JD,Active,MFR - JW-DANIELS ORG,JD,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3301,,,Absent,MFR-JW-DANIELS ORG CHIL,TN,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3302,,,Absent,MFR - JW-DANIELS CONV,TM,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3310,MFR - J WAL ORCH INC -BOLLINGER,JO,Active,MFR - JW-BOLLING ORG,JO,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3311,,,Absent,MFR-JW-BOLLING ORG CHIL,TC,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3312,,,Absent,MFR - JW-BOLLING CONV,TV,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3320,ROLOFF FARMS - PENA,RP,Active,ROLOFF FARMS-PENA CONV,RP,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3330,"FRESH 2-U, INC",2U,Active,"FRESH 2-U, INC CONV",2U,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3340,Leave Open for EBS Use,F2,Active,INACTIVE-FRESH 2-U-EBS,F2,Inactive,Newly inactive number,Skip ambiguous old alias,
3350,GIGUIERE-RODIGHIERO,G1,Active,GIGUIERE-RODIGHIER CONV,G1,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3360,RODIGHIERO - LINDA LARSON,LL,Active,RODIGHIERO-LLARSON CONV,LL,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3365,LINDA KRUGER-RODIGHIERO,L2,Active,KRUGER-RODIGHIERO CONV,L2,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3370,RODIGHIERO - JAMES LARSON,JL,Active,RODIGHIERO-LARSON CONV,JL,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3380,RODIGHIERO - STOLZ,SZ,Active,RODIGHIERO - STOLZ CONV,SZ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3390,RODIGHIERO - VONDERAHE,VO,Active,RODIGHIERO-VONDERA CONV,VO,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3400,MARCEL STOLZ - RODIGHIERO,MT,Active,M STOLZ-RODIGHIERO CONV,MT,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3410,ROLOFF FARMS - BRESTER,RA,Active,ROLOFF - BRESTER CONV,RA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3420,ROLOFF FARMS - IZZY,RZ,Active,ROLOFF FARMS-IZZY CONV,RZ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3430,ROLOFF FARMS - PRIB,RJ,Active,ROLOFF FARMS-PRIB CONV,RJ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3440,ROLOFF FARMS - RED,RR,Active,ROLOFF FARMS-RED CONV,RR,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3450,ROLOFF FARMS - REDF,RK,Active,ROLOFF FARMS-REDF CONV,RK,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3460,ROLOFF FARMS - WHITE,RW,Active,ROLOFF FARMS-WHITE CONV,RW,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3470,KUULEI ORCHARDS - ME,KM,Active,KUULEI ORCHARDS-ME CONV,KM,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3480,KUULEI ORCHARDS - JACOB,KJ,Active,KUULEI ORCH-JACOB CONV,KJ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3490,KUULEI ORCHARDS - SHORE,KS,Active,KUULEI ORCH-SHORE CONV,KS,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3500,WGM ROLOFF/SNOW,WG,Active,INACTIVE-FENCHMAN-WPP,WG,Inactive,Newly inactive number,Retain old name only when production preflight confirms it remains unambiguous,
3510,DIDION FARMS,DI,Active,DIDION FARMS CONV,DI,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3520,DAVE MORRIS,DA,Active,DAVE MORRIS CONV,DA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3530,RICK HANEY,RY,Active,RICK HANEY CONV,RY,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3540,Leave Open for EBS Use,HO,Active,INACTIVE-HANEY-EBS,HO,Inactive,Newly inactive number,Skip ambiguous old alias,
3550,BULLOCK BAKER - HARRIS,HY,Active,BULLOCK BAK-HARRIS CONV,HY,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3560,LANCE BULLOCK,LB,Active,LANCE BULLOCK CONV,LB,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3570,Sam's Apples History,SE,Active,INACTIVE-SAMS APPLES,SE,Inactive,Newly inactive number,Retain old name only when production preflight confirms it remains unambiguous,
3580,Malcolm Millar,ME,Active,Malcolm Millar CONV,ME,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3590,RODIGHIERO ORCHARDS - HANSON,RX,Active,RODIGHIERO-HANSON CONV,RX,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3600,ELK ORCHARDS,EK,Active,ELK ORCHARDS ORG CHIL,EK,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3602,,,Absent,ELK ORCHARDS CONV,E2,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3605,ELK ORCHARDS NON-CHILEAN,E1,Active,ELK ORCHARDS ORG,E1,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3610,RODIGHIERO ORCHARDS - JONES,RQ,Active,RODIGHIERO - JONES CONV,RQ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3615,RODIGHIERO ORCHARDS - LEINBACH,R5,Active,RODIGHIERO-LEINBA CONV,R5,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3620,RODIGHIERO ORCHARDS - SMILTH,RT,Active,RODIGHIERO-SMILTH CONV,RT,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3630,RODIGHIERO ORCHARDS - LARSON,RU,Active,RODIGHIERO-LARSON CONV,RU,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3640,RODIGHIERO ORCHARDS - TRUJILO,RM,Active,RODIGHIERO-TRUJILO CONV,RM,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3650,RODIGHIERO ORCHARDS - ROBERTSON,R1,Active,RODIGHIERO-ROBERT CONV,R1,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3660,RODIGHIERO ORCHARDS - C ROBERTSON,R2,Active,RODIGHIERO-C ROBE CONV,R2,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3670,ROLOFF FARMS - STOLZ,RS,Active,ROLOFF FARMS-STOLZ CONV,RS,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3680,RODIGHIERO ORCHARDS - MARLIN,R3,Active,RODIGHIERO-MARLIN CONV,R3,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3690,ROLOFF FARMS - HOME,R4,Active,ROLOFF FARMS-HOME CONV,R4,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3700,Sam's Apples Burlingame,SQ,Active,Sams A Burlingame ORG,SQ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3701,,,Absent,Sams A Burling ORG CHIL,IS,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3702,,,Absent,Sams A Burlingame CONV,IL,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3710,Rodighiero Orchards - Across,SA,Active,Rodighiero - Across ORG,SA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3711,,,Absent,Rodighiero-Acr ORG CHIL,IM,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3712,,,Absent,Rodighiero-Across CONV,IN,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3720,KUULEI ORCHARDS - MILLAR,KL,Active,KUULEI - MILLAR CONV,KL,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3730,Sam's Apples Addington,AD,Active,Sams A Addington ORG,AD,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3735,Davis Orchard - Davis,DD,Active,Davis Orc - Davis CONV,DD,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3740,Bullock Farms - Harvey,B1,Active,Bullock F - Harvey CONV,B1,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3745,Davis Orchard - Crimson,DC,Active,Davis Orch-Crimson CONV,DC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3750,Roloff Farms,RF,Active,Roloff Farms CONV,RF,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3755,Davis Orchards - Mack,DK,Active,Davis Orch-Mack CONV,DK,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3760,Kuulei Orchards,KI,Active,Kuulei Orchards CONV,KI,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3765,Davis Orchards - Nash,DN,Active,Davis Orch-Nash CONV,DN,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3770,Davis Orchards - P2,P2,Active,Davis Orchards-P2 CONV,P2,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3775,Davis Orchards - A Honeys,AH,Active,Davis Orch-A Honey CONV,AH,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3780,Davis Orchards - P3,P3,Active,Davis Orchards-P3 CONV,P3,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3785,Davis Orchard - Best,B2,Active,Davis Orchard-Best CONV,B2,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3790,Davis Orchard - Hermans,HE,Active,Davis Orch-Hermans CONV,HE,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3795,Davis Orchard - Hohns,HN,Active,Davis Orch-Hohns CONV,HN,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3800,FFL- SUNDOWN NON-CHILEAN,SU,Active,FFL-SUNDOWN ORG,SU,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3802,,,Absent,FFL- SUNDOWN CONV,1S,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3805,FFL- SUNDOWN NON-CANADA,S2,Active,FFL-SUNDOWN ORG CHIL,2S,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,Informational only; no operational PoolStart write
3900,Phoenix No Chilean,PX,Active,PHOENIX ORG,PX,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
3901,,,Absent,PHOENIX ORG CHIL,PN,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
3902,,,Absent,PHOENIX CONV,PM,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4000,C&J,CJ,Active,C&J ORG,CJ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4001,,,Absent,C&J ORG CHIL,C3,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4002,,,Absent,C&J CONV,C4,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4100,Conconully Pears,CP,Active,Conconully Pears ORG,CP,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4101,,,Absent,Conconully Prs ORG CHIL,C9,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4102,,,Absent,Conconully Pears CONV,CQ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4150,Conconully Pears-Derosario,C2,Active,Derosario ORG,C2,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4151,,,Absent,Derosario ORG CHIL,DX,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4152,,,Absent,Derosario CONV,D2,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4200,Milepost-Groff,MG,Active,Milepost-Groff ORG,MG,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4201,,,Absent,Milepost-Groff ORG CHIL,E8,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4202,,,Absent,Milepost-Groff CONV,E9,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4300,FFL-Keystone NON CHILEAN,FK,Active,FFL-Keystone ORG,FK,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4301,,,Absent,FFL-Keystone ORG CHIL,FN,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4302,,,Absent,FFL-Keystone CONV,FJ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4400,FFL-Riverside,FV,Active,FFL-Riverside ORG CHIL,FV,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4402,,,Absent,FFL-Riverside CONV,FQ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4410,FFL-RIVERSIDE NON-CHILEAN,FW,Active,FFL-Riverside ORG,FW,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4500,Sun Valley Pears,SV,Active,Sun Valley Pears ORG,SV,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4501,,,Absent,Sun Valley Prs ORG CHIL,H5,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4502,,,Absent,Sun Valley Pears CONV,H6,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4600,Pine Creek No Chilean,PC,Active,Pine Creek ORG,PC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4700,Ridpath,RI,Active,Ridpath ORG,RI,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4701,,,Absent,Ridpath ORG CHIL,9R,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4702,,,Absent,Ridpath CONV,IT,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4800,INACTIVE,,Inactive,INACTIVE - 9MILE,,Inactive,Still inactive,Not applicable,
4900,Reyna,RE,Active,Reyna ORG,RE,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
4901,,,Absent,Reyna ORG CHIL,7R,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
4902,,,Absent,Reyna CONV,8R,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
5000,Academy,AO,Active,Academy ORG CHIL,AO,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5001,,,Absent,Academy ORG,A3,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
5002,,,Absent,Academy CONV,A4,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
5460,CASCADE HOLDINGS-BERRY ORCHARD,CG,Active,CASCADE HOLD-BERRY CONV,CG,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5470,P&G STATE - 40,PG,Active,P&G STATE - 40 CONV,PG,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5480,SAND TIMBER,TI,Active,SAND TIMBER CONV,TI,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5490,MARCELLAY,G2,Active,MARCELLAY CONV,G2,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5500,CVO,CV,Active,CVO CONV,CV,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5510,Buckhorn West,B3,Active,Buckhorn West CONV,B3,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5520,Buckhorn HT 100,H1,Active,Buckhorn HT 100 CONV,H1,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5530,Buckhorn HT 24,H2,Active,Buckhorn HT 24 CONV,H2,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5540,JBM Mitchell,JM,Active,JBM Mitchell CONV,JM,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5550,HMJD,MJ,Active,HMJD CONV,MJ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5560,Pioneer Ranch-Baby K,GR,Active,PIONEER R-BABY K CONV,GR,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5570,Maverick-Brock,GM,Active,Maverick-Brock CONV,GM,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5580,Knapp-Knapp North,GK,Active,Knapp-Knapp North CONV,GK,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5590,Knapp-Above Knapp North,GA,Active,KNAPP-A KNAPP NORT CONV,GA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5600,Cascade Holdings - Bluebird,GC,Active,Cascade Hold-Blue CONV,GC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5610,CWAC-Graevell,GG,Active,CWAC-Graevell CONV,GG,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5620,Buckhorn-Hilltop West,GH,Active,Buckhorn-HT West CONV,GH,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5630,Buckhorn-Hilltop 100,GT,Active,Buckhorn-HT 100 CONV,GT,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5640,P&G-NGPBP,GN,Active,P&G-NGPBP CONV,GN,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5650,Wick - Ophir Grade,GW,Active,GEB WICK-OPHIR GRD CONV,GW,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5660,Above Bridgeport New,GF,Active,Above Bridgep New CONV,GF,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5670,Cascade Holding-Crossland,GL,Active,CASCADE HOLD-CRSSL CONV,GL,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5680,Snyder Flats - General,GD,Active,SNYDER FLATS-G CONV,GD,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5690,P&G-Deeded - D. Mckie,GI,Active,P&G-D. MCKIE CONV,GI,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5700,P&G-Deeded - Birdcage,GJ,Active,P&G-DEED-BIRDCG CONV,GJ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5710,Big Granny,GO,Active,Big Granny CONV,GO,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5720,Airport/Fert Tank,GQ,Active,AIRPORT/FER TANK CONV,GQ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
5730,Horace Smith,GS,Active,Horace Smith CONV,GS,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
